file_name,hr_file_size,hr_width,hr_height,wr_file_size,wr_width,wr_height
JAD0102_S.jpg,6.1 MB,4500,6313,165.2 KB,356,500
JAD0103_S.jpg,5.7 MB,4500,6000,174.9 KB,375,500
JAD0104_S.jpg,6.1 MB,6000,5118,183.3 KB,500,426
JAD0105_S.jpg,8.0 MB,6000,5211,165.8 KB,500,434
JAD0106_S.jpg,8.1 MB,6000,5110,235.9 KB,500,425
JAD0107_S.jpg,5.5 MB,6209,4500,162.8 KB,500,362
JAD0108_S.jpg,5.0 MB,6000,5312,187.2 KB,500,442
JAD0109_S.jpg,8.0 MB,8000,6256,173.7 KB,500,391
JAD0110_S.jpg,5.1 MB,6000,4500,175.9 KB,500,375
JAD0111_S.jpg,5.2 MB,5989,4849,176.9 KB,500,404
JAD0112_S.jpg,5.8 MB,5988,5329,184.4 KB,500,444
JAD0113_S.jpg,5.7 MB,6205,4500,171.8 KB,500,362
JAD0114_S.jpg,5.3 MB,6000,4817,181.3 KB,500,401
JMA0001_S.jpg,6.5 MB,6000,3800,124.8 KB,500,316
JMA0002_S.jpg,8.7 MB,6000,4415,172.8 KB,500,367
JMA0003_S.jpg,12.7 MB,3637,6000,160.0 KB,303,500
JMA0004_S.jpg,7.2 MB,4929,6000,148.1 KB,410,500
JMA0005_S.jpg,7.8 MB,6571,4500,161.0 KB,500,342
JMA0006_S.jpg,4.7 MB,6000,5217,130.1 KB,500,434
JMA0007_S.jpg,6.3 MB,6900,5978,158.4 KB,500,433
JMA0008_S.jpg,5.2 MB,5520,6000,107.3 KB,460,500
JMA0009_S.jpg,10.0 MB,6000,4000,156.7 KB,500,333
JMA0010_S.jpg,4.6 MB,6000,3601,99.3 KB,500,300
JMA0011_S.jpg,6.6 MB,4500,4500,245.3 KB,500,500
KAN0016_S.jpg,26.1 MB,4500,8053,155.6 KB,279,500
KAN0017_S.jpg,22.9 MB,6194,4500,245.0 KB,500,363
KAN0018_S.jpg,20.9 MB,4600,6015,264.9 KB,382,500
KAN0019_S.jpg,23.5 MB,4556,6000,224.2 KB,379,500
KAN0020_S.jpg,22.7 MB,4660,6000,207.8 KB,388,500
KAN0021_S.jpg,25.6 MB,4550,6049,207.5 KB,376,500
KAN0023_S.jpg,16.8 MB,4500,6590,159.7 KB,341,500
KAN0024_S.jpg,28.1 MB,5320,6100,269.1 KB,436,500
KAN0025_S.jpg,15.9 MB,4500,6460,162.1 KB,348,500
KAN0026_S.jpg,17.3 MB,6370,4500,157.8 KB,500,353
KAN0027_S.jpg,16.1 MB,6155,4550,209.2 KB,500,369
KAN0028_S.jpg,18.5 MB,4820,6050,211.8 KB,398,500
KAN0029_S.jpg,17.2 MB,6771,4500,175.7 KB,500,332
LAL0256_P.jpg,40.5 MB,4500,6000,136.6 KB,375,500
MAI0003_P.jpg,7.1 MB,2700,3600,141.0 KB,375,500
MIS0004_S.jpg,50.7 MB,4800,6000,272.9 KB,400,500
MIS0005_S.jpg,53.4 MB,4800,6000,284.7 KB,400,500
MIY0038_S.jpg,2.1 MB,4500,10289,32.9 KB,218,500
MIY0039_S.jpg,3.4 MB,4500,14834,25.7 KB,151,500
MIY0040_S.jpg,5.1 MB,4500,14834,33.8 KB,151,500
MIY0041_S.jpg,3.8 MB,4500,12401,42.9 KB,181,500
MIY0042_S.jpg,1.7 MB,7148,4500,58.8 KB,500,314
MIY0043_S.jpg,1.5 MB,5101,6000,63.2 KB,425,500
MIY0044_S.jpg,1.7 MB,7708,4500,55.2 KB,500,291
NRI0293_S.jpg,21.1 MB,6000,3053,156.6 KB,500,254
RMI0011_S.jpg,12.2 MB,6000,4500,172.0 KB,500,375
RMI0012_S.jpg,5.6 MB,4500,6000,114.1 KB,375,500
RMI0013_S.jpg,3.3 MB,6000,4500,72.5 KB,500,375
RMI0014_S.jpg,9.0 MB,4500,6000,127.5 KB,375,500
RMI0015_S.jpg,8.7 MB,6000,4500,143.9 KB,500,375
RMI0016_S.jpg,5.6 MB,6000,4500,109.8 KB,500,375
RMI0017_S.jpg,9.7 MB,6000,4500,114.9 KB,500,375
RMI0018_S.jpg,5.3 MB,4500,6000,99.0 KB,375,500
RMI0019_S.jpg,9.0 MB,6000,4500,134.3 KB,500,375
RMI0020_S.jpg,8.9 MB,6000,4500,122.6 KB,500,375
RYA0001_S.jpg,15.3 MB,4500,6000,205.9 KB,375,500
RYA0002_S.jpg,7.5 MB,4500,6000,157.5 KB,375,500
RYA0003_S.jpg,9.5 MB,4500,6000,158.5 KB,375,500
RYA0004_S.jpg,10.0 MB,4500,6000,183.0 KB,375,500
RYA0005_S.jpg,10.0 MB,6000,4500,146.6 KB,500,375
RYA0006_S.jpg,3.9 MB,6000,4500,58.8 KB,500,375
RYA0007_S.jpg,10.9 MB,6000,4500,153.8 KB,500,375
RYA0008_S.jpg,17.6 MB,6000,4500,240.2 KB,500,375
RYA0009_S.jpg,3.6 MB,4500,6000,67.4 KB,375,500
RYA0010_S.jpg,14.7 MB,4500,6000,170.9 KB,375,500
RYA0011_S.jpg,10.6 MB,6000,4500,132.9 KB,500,375
RYA0012_S.jpg,15.5 MB,4500,6000,206.4 KB,375,500
RYA0013_S.jpg,13.4 MB,4500,6000,264.8 KB,375,500
RYA0014_S.jpg,5.4 MB,4500,6000,133.2 KB,375,500
RYA0015_S.jpg,11.2 MB,6000,4500,236.3 KB,500,375
RYA0016_S.jpg,11.0 MB,4500,6000,128.0 KB,375,500
RYA0017_S.jpg,8.1 MB,4500,6000,101.5 KB,375,500
RYA0018_S.jpg,8.2 MB,4500,6000,146.9 KB,375,500
RYA0019_S.jpg,16.1 MB,6000,4500,162.1 KB,500,375
RYA0020_S.jpg,17.1 MB,4500,6000,279.2 KB,375,500
SZO0889_S.jpg,20.9 MB,4500,6000,187.9 KB,375,500
SZO0890_S.jpg,20.4 MB,4500,6000,183.2 KB,375,500
SZO0891_S.jpg,22.1 MB,4500,6000,197.0 KB,375,500
SZO0892_S.jpg,22.0 MB,4500,6000,194.1 KB,375,500
SZO0893_S.jpg,24.1 MB,4500,6000,201.7 KB,375,500
SZO0894_S.jpg,23.7 MB,4500,6000,198.2 KB,375,500
TKO0001_S.jpg,11.7 MB,4793,6000,121.7 KB,399,500
TKO0002_S.jpg,18.7 MB,6000,4535,156.1 KB,500,377
TKO0003_S.jpg,15.7 MB,4415,6000,128.9 KB,367,500
TKO0004_S.jpg,19.8 MB,4844,6000,153.1 KB,403,500
TKO0005_S.jpg,18.4 MB,4616,6000,138.5 KB,384,500
TKO0006_S.jpg,18.8 MB,4608,6000,149.0 KB,384,500
TKO0007_S.jpg,16.5 MB,3886,6000,128.2 KB,323,500
TKO0008_S.jpg,16.4 MB,4388,6000,120.7 KB,365,500
TKO0009_S.jpg,18.3 MB,4422,6000,131.9 KB,368,500
TKO0010_S.jpg,18.3 MB,4327,6000,131.4 KB,360,500
TKO0011_S.jpg,18.2 MB,4548,6000,125.9 KB,379,500
TKO0012_S.jpg,18.9 MB,4564,6000,130.7 KB,380,500
TKO0013_S.jpg,18.9 MB,4837,6000,154.1 KB,403,500
TKO0014_S.jpg,19.2 MB,4652,6000,159.0 KB,387,500
TKO0015_S.jpg,18.9 MB,4660,6000,134.1 KB,388,500
TKO0016_S.jpg,19.5 MB,4514,6423,129.6 KB,351,500
TKO0017_S.jpg,18.4 MB,6000,4389,123.3 KB,500,365
TKO0018_S.jpg,22.5 MB,6208,5289,156.4 KB,500,425
TKO0019_S.jpg,22.5 MB,4945,6461,114.2 KB,382,500
TKO0020_S.jpg,21.6 MB,4508,6438,127.4 KB,350,500
TKO0021_S.jpg,25.0 MB,4893,6337,121.2 KB,386,500
TKO0023_S.jpg,18.6 MB,5886,4500,115.0 KB,500,382
TKO0024_S.jpg,19.2 MB,5925,4500,124.7 KB,500,379
TKO0025_S.jpg,22.1 MB,4854,6351,128.9 KB,382,500
TKO0026_S.jpg,20.2 MB,4500,5952,122.4 KB,378,500
TKO0027_S.jpg,21.7 MB,5049,6000,126.0 KB,420,500
YIM0022_S.jpg,16.1 MB,4606,6601,130.1 KB,348,500
aav0001_h.jpg,2.9 MB,2700,3600,101.1 KB,375,500
aav0002_h.jpg,3.4 MB,3600,2700,141.3 KB,500,375
aav0003_h.jpg,790.4 KB,2700,3600,60.7 KB,375,500
aav0004_h.jpg,2.8 MB,2700,3600,129.9 KB,375,500
aav0005_h.jpg,2.2 MB,2700,3600,145.2 KB,375,500
aav0006_h.jpg,2.2 MB,2700,3600,78.7 KB,375,500
aav0007_h.jpg,1.0 MB,2700,3600,85.0 KB,375,500
aav0008_h.jpg,1.8 MB,2700,3600,53.1 KB,375,500
aav0009_h.jpg,1.3 MB,3600,2700,93.6 KB,500,375
aav0010_h.jpg,2.4 MB,2700,3600,113.5 KB,375,500
aav0011_h.jpg,1.2 MB,2700,3600,95.6 KB,375,500
aav0012_h.jpg,1.5 MB,3600,2700,105.2 KB,500,375
aav0013_h.jpg,1.5 MB,3600,2700,107.4 KB,500,375
aav0014_h.jpg,1.8 MB,3600,2700,122.3 KB,500,375
aav0015_h.jpg,1.4 MB,2700,3600,94.8 KB,375,500
aav0016_h.jpg,1.3 MB,2700,3600,101.8 KB,375,500
aav0017_h.jpg,1.4 MB,2700,3600,102.1 KB,375,500
aav0018_h.jpg,977.1 KB,2700,3600,81.6 KB,375,500
aav0019_h.jpg,983.6 KB,2700,3600,76.9 KB,375,500
aav0020_h.jpg,1.6 MB,3600,2700,119.5 KB,500,375
aba0001_h.jpg,2.3 MB,3600,2700,93.5 KB,500,375
aba0003_h.jpg,1.4 MB,2700,3600,70.8 KB,375,500
aba0005_h.jpg,2.9 MB,3600,2700,106.3 KB,500,375
aba0006_h.jpg,2.1 MB,3600,2700,111.4 KB,500,375
aba0007_h.jpg,2.1 MB,3600,2700,98.4 KB,500,375
aba0009_h.jpg,4.4 MB,2700,3600,141.2 KB,375,500
aba0010_h.jpg,3.0 MB,2700,3600,103.1 KB,375,500
aba0011_h.jpg,1.8 MB,3600,2700,105.1 KB,500,375
aba0012_h.jpg,2.7 MB,3600,2700,104.2 KB,500,375
aba0013_h.jpg,1.7 MB,2700,3600,78.1 KB,375,500
aba0015_h.jpg,2.0 MB,3600,2700,114.9 KB,500,375
aba0017_h.jpg,1.5 MB,2700,3600,86.1 KB,375,500
aba0018_h.jpg,4.2 MB,3600,2700,120.2 KB,500,375
aba0019_h.jpg,4.1 MB,2700,3600,127.3 KB,375,500
aba0020_h.jpg,2.0 MB,2700,3600,106.6 KB,375,500
aba0021_h.jpg,4.6 MB,3600,2700,143.4 KB,500,375
aba0023_h.jpg,2.4 MB,3600,2700,96.9 KB,500,375
aba0025_h.jpg,3.4 MB,3600,2700,98.5 KB,500,375
abe0001_h.jpg,17.3 MB,7190,4500,134.0 KB,500,312
abe0002_h.jpg,8.9 MB,6505,4500,136.8 KB,500,345
abe0003_h.jpg,9.6 MB,6010,6000,162.3 KB,500,499
abe0004_h.jpg,10.6 MB,6000,6026,198.3 KB,497,500
abe0005_h.jpg,8.5 MB,4500,7994,95.0 KB,281,500
abe0006_h.jpg,8.2 MB,4600,6067,139.1 KB,379,500
abe0007_h.jpg,9.4 MB,4500,6167,153.8 KB,364,500
abe0008_h.jpg,8.5 MB,6182,4500,114.3 KB,500,363
abe0009_h.jpg,8.6 MB,6179,4500,152.4 KB,500,364
abe0010_h.jpg,10.0 MB,6000,5990,178.1 KB,500,499
abe0011_h.jpg,13.6 MB,6290,4500,160.8 KB,500,357
abe0012_h.jpg,13.3 MB,4623,6000,167.9 KB,385,500
abe0013_h.jpg,14.8 MB,4500,7137,174.4 KB,315,500
abr0001_t.jpg,165.7 KB,375,862,66.1 KB,217,500
abr0002_t.jpg,357.1 KB,851,611,167.2 KB,500,358
abr0003_t.jpg,186.0 KB,421,856,77.9 KB,245,500
abr0004_t.jpg,172.9 KB,870,567,80.9 KB,500,325
abr0005_t.jpg,277.0 KB,524,856,118.7 KB,306,500
abr0006_t.jpg,172.8 KB,551,864,74.2 KB,318,500
abr0007_t.jpg,318.4 KB,639,873,135.7 KB,365,500
abr0008_t.jpg,344.9 KB,868,744,143.3 KB,500,428
abr0009_t.jpg,365.6 KB,747,860,161.3 KB,434,500
abr0010_t.jpg,154.7 KB,629,876,71.5 KB,359,500
abr0011_t.jpg,227.8 KB,874,335,91.0 KB,500,191
abr0012_t.jpg,365.9 KB,709,865,152.4 KB,409,500
abr0013_t.jpg,304.1 KB,868,616,126.7 KB,500,354
abr0014_t.jpg,361.4 KB,701,860,158.2 KB,407,500
abr0015_t.jpg,174.2 KB,881,351,77.3 KB,500,199
abr0016_t.jpg,178.4 KB,577,864,86.0 KB,333,500
abr0017_t.jpg,394.1 KB,697,857,174.6 KB,406,500
abr0018_t.jpg,215.3 KB,719,859,108.7 KB,418,500
abr0019_t.jpg,216.7 KB,860,732,104.1 KB,500,425
