Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
a-man-putting-up-a-secured-site-sign,,,,,,,,Web-Res .jpg,,,,,SPS0676-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-trying-to-install-a-computer,A man trying to install a computer,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0675-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0675_h.jpg?v=1526414898,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-trying-to-install-a-computer,,,,,,,,Web-Res .jpg,,,,,SPS0675-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-group-of-men-working-for-a-home-based-business,A group of men working for a home based business,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0674-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0674_h.jpg?v=1526414897,1,,false,,,,,,,,,,,,,,,,,lb,
a-group-of-men-working-for-a-home-based-business,,,,,,,,Web-Res .jpg,,,,,SPS0674-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-businessman-picking-apples-from-a-tree,A businessman picking apples from a tree,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0673-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0673_h.jpg?v=1526414896,1,,false,,,,,,,,,,,,,,,,,lb,
a-businessman-picking-apples-from-a-tree,,,,,,,,Web-Res .jpg,,,,,SPS0673-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-walking-from-the-roof-of-a-house-to-a-high-rise-building,A man walking from the roof of a house to a high rise building,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0672-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0672_h.jpg?v=1526414894,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-walking-from-the-roof-of-a-house-to-a-high-rise-building,,,,,,,,Web-Res .jpg,,,,,SPS0672-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-looking-at-the-starry-sky,A man looking at the starry sky,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0671-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0671_h.jpg?v=1526414893,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-looking-at-the-starry-sky,,,,,,,,Web-Res .jpg,,,,,SPS0671-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-putting-a-house-in-the-middle-of-a-city,A man putting a house in the middle of a city,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0670-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0670_h.jpg?v=1526414891,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-putting-a-house-in-the-middle-of-a-city,,,,,,,,Web-Res .jpg,,,,,SPS0670-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-sending-memos,A man sending memos,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0669-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0669_h.jpg?v=1526414890,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-sending-memos,,,,,,,,Web-Res .jpg,,,,,SPS0669-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-filling-a-bucket-with-money-from-a-pipe,A man filling a bucket with money from a pipe,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0668-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0668_h.jpg?v=1526414888,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-filling-a-bucket-with-money-from-a-pipe,,,,,,,,Web-Res .jpg,,,,,SPS0668-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-making-smoke-signals,A man making smoke signals,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0667-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0667_h.jpg?v=1526414887,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-making-smoke-signals,,,,,,,,Web-Res .jpg,,,,,SPS0667-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-opening-a-door-to-a-brighter-place,A man opening a door to a brighter place,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0666-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0666_h.jpg?v=1526414886,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-opening-a-door-to-a-brighter-place,,,,,,,,Web-Res .jpg,,,,,SPS0666-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-fishing-in-global-waters,A man fishing in global waters,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0665-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0665_h.jpg?v=1526414884,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-fishing-in-global-waters,,,,,,,,Web-Res .jpg,,,,,SPS0665-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-raking-money-tree,A man raking money tree,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0664-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0664_h.jpg?v=1526414883,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-raking-money-tree,,,,,,,,Web-Res .jpg,,,,,SPS0664-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-working-at-a-warehouse,A man working at a warehouse,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0663-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0663_h.jpg?v=1526414880,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-working-at-a-warehouse,,,,,,,,Web-Res .jpg,,,,,SPS0663-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-holding-a-compass,A man holding a compass,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0662-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0662_h.jpg?v=1526414879,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-holding-a-compass,,,,,,,,Web-Res .jpg,,,,,SPS0662-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-painting-a-target-on-a-house,A man painting a target on a house,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0661-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0661_h.jpg?v=1526414878,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-painting-a-target-on-a-house,,,,,,,,Web-Res .jpg,,,,,SPS0661-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-looking-at-his-reflection-1,A man looking at his reflection,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0660-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0660_h.jpg?v=1526414876,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-looking-at-his-reflection-1,,,,,,,,Web-Res .jpg,,,,,SPS0660-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-with-gears-for-muscles,A man with gears for muscles,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0659-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0659_h.jpg?v=1526414875,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-with-gears-for-muscles,,,,,,,,Web-Res .jpg,,,,,SPS0659-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-looking-through-a-telescope-from-the-roof-of-a-house,A man looking through a telescope from the roof of a house,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0658-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0658_h.jpg?v=1526414874,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-looking-through-a-telescope-from-the-roof-of-a-house,,,,,,,,Web-Res .jpg,,,,,SPS0658-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-figuring-out-how-to-reach-a-star-in-the-sky,A man figuring out how to reach a star in the sky,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0657-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0657_h.jpg?v=1526414872,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-figuring-out-how-to-reach-a-star-in-the-sky,,,,,,,,Web-Res .jpg,,,,,SPS0657-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-building-a-bridge-to-get-over-water,A man building a bridge to get over water,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0656-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0656_h.jpg?v=1526414871,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-building-a-bridge-to-get-over-water,,,,,,,,Web-Res .jpg,,,,,SPS0656-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-selling-lightbulbs,A man selling lightbulbs,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0655-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0655_h.jpg?v=1526414869,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-selling-lightbulbs,,,,,,,,Web-Res .jpg,,,,,SPS0655-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-watering-a-bulls-eye-flower,A man watering a bull's eye flower,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0654-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0654_h.jpg?v=1526414868,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-watering-a-bulls-eye-flower,,,,,,,,Web-Res .jpg,,,,,SPS0654-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
two-men-shaking-hands-through-a-window,Two men shaking hands through a window,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0653-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0653_h.jpg?v=1526414867,1,,false,,,,,,,,,,,,,,,,,lb,
two-men-shaking-hands-through-a-window,,,,,,,,Web-Res .jpg,,,,,SPS0653-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-fixing-a-leaky-pipe,A man fixing a leaky pipe,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0652-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0652_h.jpg?v=1526414865,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-fixing-a-leaky-pipe,,,,,,,,Web-Res .jpg,,,,,SPS0652-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-sending-mass-emails,A man sending mass emails,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0651-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0651_h.jpg?v=1526414864,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-sending-mass-emails,,,,,,,,Web-Res .jpg,,,,,SPS0651-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-pushing-a-wheelbarrow-full-of-money,A man pushing a wheelbarrow full of money,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0650-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0650_h.jpg?v=1526414863,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-pushing-a-wheelbarrow-full-of-money,,,,,,,,Web-Res .jpg,,,,,SPS0650-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
an-illustration-of-a-person-controlling-a-businessman,An illustration of a person controlling a businessman,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0649-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0649_h.jpg?v=1526414862,1,,false,,,,,,,,,,,,,,,,,lb,
an-illustration-of-a-person-controlling-a-businessman,,,,,,,,Web-Res .jpg,,,,,SPS0649-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-and-woman-in-an-internet-cafe,A man and woman in an internet cafe,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0648-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0648_h.jpg?v=1526414860,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-and-woman-in-an-internet-cafe,,,,,,,,Web-Res .jpg,,,,,SPS0648-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-woman-buying-and-selling-stocks,A woman buying and selling stocks,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0647-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0647_h.jpg?v=1526414859,1,,false,,,,,,,,,,,,,,,,,lb,
a-woman-buying-and-selling-stocks,,,,,,,,Web-Res .jpg,,,,,SPS0647-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-businessman-using-a-phone-and-holding-a-laptop,A businessman using a phone and holding a laptop,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0646-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0646_h.jpg?v=1526414857,1,,false,,,,,,,,,,,,,,,,,lb,
a-businessman-using-a-phone-and-holding-a-laptop,,,,,,,,Web-Res .jpg,,,,,SPS0646-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-monitoring-a-rising-stock,A man monitoring a rising stock,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0645-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0645_h.jpg?v=1526414856,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-monitoring-a-rising-stock,,,,,,,,Web-Res .jpg,,,,,SPS0645-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-sending-email-from-afar,A man sending email from afar,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0644-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0644_h.jpg?v=1526414855,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-sending-email-from-afar,,,,,,,,Web-Res .jpg,,,,,SPS0644-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
using-a-computer-to-facilitate-transportation-gateway,Using a computer to facilitate transportation gateway,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0643-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0643_h.jpg?v=1526414853,1,,false,,,,,,,,,,,,,,,,,lb,
using-a-computer-to-facilitate-transportation-gateway,,,,,,,,Web-Res .jpg,,,,,SPS0643-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-using-a-personal-data-assistant,A man using a personal data assistant,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0642-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0642_h.jpg?v=1526414852,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-using-a-personal-data-assistant,,,,,,,,Web-Res .jpg,,,,,SPS0642-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-leaping-over-the-globe-while-using-a-laptop,A man leaping over the globe while using a laptop,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0641-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0641_h.jpg?v=1526414851,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-leaping-over-the-globe-while-using-a-laptop,,,,,,,,Web-Res .jpg,,,,,SPS0641-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-talking-on-his-cell-phone-while-driving,A man talking on his cell phone while driving,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0640-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0640_h.jpg?v=1526414849,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-talking-on-his-cell-phone-while-driving,,,,,,,,Web-Res .jpg,,,,,SPS0640-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-group-of-men-using-a-file-sharing-network,A group of men using a file sharing network,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0639-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0639_h.jpg?v=1526414848,1,,false,,,,,,,,,,,,,,,,,lb,
a-group-of-men-using-a-file-sharing-network,,,,,,,,Web-Res .jpg,,,,,SPS0639-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-woman-opening-a-locked-file,A woman opening a locked file,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0638-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0638_h.jpg?v=1526414847,1,,false,,,,,,,,,,,,,,,,,lb,
a-woman-opening-a-locked-file,,,,,,,,Web-Res .jpg,,,,,SPS0638-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-picture-of-a-man-sending-email-to-a-pda,A picture of a man sending email to a PDA,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0637-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0637_h.jpg?v=1526414846,1,,false,,,,,,,,,,,,,,,,,lb,
a-picture-of-a-man-sending-email-to-a-pda,,,,,,,,Web-Res .jpg,,,,,SPS0637-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
two-people-communicating-via-email,Two people communicating via email,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0636-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0636_h.jpg?v=1526414844,1,,false,,,,,,,,,,,,,,,,,lb,
two-people-communicating-via-email,,,,,,,,Web-Res .jpg,,,,,SPS0636-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-businesswoman-using-her-pda,A businesswoman using her PDA,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0635-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0635_h.jpg?v=1526414843,1,,false,,,,,,,,,,,,,,,,,lb,
a-businesswoman-using-her-pda,,,,,,,,Web-Res .jpg,,,,,SPS0635-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
people-using-computers-on-the-plane-while-traveling,People using computers on the plane while traveling,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0634-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0634_h.jpg?v=1526414840,1,,false,,,,,,,,,,,,,,,,,lb,
people-using-computers-on-the-plane-while-traveling,,,,,,,,Web-Res .jpg,,,,,SPS0634-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-woman-juggling-with-different-types-of-technology,A woman juggling with different types of technology,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0633-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0633_h.jpg?v=1526414839,1,,false,,,,,,,,,,,,,,,,,lb,
a-woman-juggling-with-different-types-of-technology,,,,,,,,Web-Res .jpg,,,,,SPS0633-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
connecting-to-the-internet-via-cell-phone,Connecting to the internet via cell phone,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0632-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0632_h.jpg?v=1526414838,1,,false,,,,,,,,,,,,,,,,,lb,
connecting-to-the-internet-via-cell-phone,,,,,,,,Web-Res .jpg,,,,,SPS0632-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-using-satellite-communication,A man using satellite communication,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0631-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0631_h.jpg?v=1526414837,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-using-satellite-communication,,,,,,,,Web-Res .jpg,,,,,SPS0631-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
an-illustration-of-a-modern-business-with-a-laptop-as-his-shield,An illustration of a modern business with a laptop as his shield,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0630-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0630_h.jpg?v=1526414836,1,,false,,,,,,,,,,,,,,,,,lb,
an-illustration-of-a-modern-business-with-a-laptop-as-his-shield,,,,,,,,Web-Res .jpg,,,,,SPS0630-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-woman-with-a-broken-down-car,A woman with a broken down car,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0629-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0629_h.jpg?v=1526414834,1,,false,,,,,,,,,,,,,,,,,lb,
a-woman-with-a-broken-down-car,,,,,,,,Web-Res .jpg,,,,,SPS0629-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-businesswoman-walking-with-her-daughter-in-a-stroller,A businesswoman walking with her daughter in a stroller,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0628-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0628_h.jpg?v=1526414833,1,,false,,,,,,,,,,,,,,,,,lb,
a-businesswoman-walking-with-her-daughter-in-a-stroller,,,,,,,,Web-Res .jpg,,,,,SPS0628-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-working-at-a-construction-site,A man working at a construction site,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0627-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0627_h.jpg?v=1526414831,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-working-at-a-construction-site,,,,,,,,Web-Res .jpg,,,,,SPS0627-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-using-his-cell-phone,A man using his cell phone,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0626-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0626_h.jpg?v=1526414830,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-using-his-cell-phone,,,,,,,,Web-Res .jpg,,,,,SPS0626-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-man-is-working-while-a-woman-surfs-the-internet-on-her-cell-phone,A man is working while a woman surfs the internet on her cell phone,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0625-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0625_h.jpg?v=1526414829,1,,false,,,,,,,,,,,,,,,,,lb,
a-man-is-working-while-a-woman-surfs-the-internet-on-her-cell-phone,,,,,,,,Web-Res .jpg,,,,,SPS0625-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
a-person-using-a-pda,A person using a PDA,,Spark Studio,Image,"",true,Title,Hi-Res .jpg,,,,,SPS0624-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/sps0624_h.jpg?v=1526414827,1,,false,,,,,,,,,,,,,,,,,lb,
a-person-using-a-pda,,,,,,,,Web-Res .jpg,,,,,SPS0624-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
